Name,No,Track,Artist,Album,Track_Url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Miliseconds_Played,Genre
tracks,277,Love Tonight - David Guetta Remix Edit,Shouse,Love Tonight,spotify:track:2prnn41CblB8B4yWACDljP,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,32160149,Electronic/Dance
tracks,278,Warm (feat. Mia),Dre'es,Warm (feat. Mia),spotify:track:3kBofOTKMUZ62a311eUwvx,0.662,0.297,8,-14.525,1,0.0301,0.888,0.108,0.119,0.434,94.023,2536731,M-pop
tracks,279,Sigh,Vanilla Acoustic,Cobalt Blue,spotify:track:2BjChKBjmJc0YeBh3I9Xak,0.5,0.468,9,-5.4,1,0.0356,0.817,0,0.109,0.425,129.948,433458,K-pop
tracks,280,We're Good,Dua Lipa,Future Nostalgia,spotify:track:1diS6nkxMQc3wwC4G1j0bh,0.722,0.588,6,-5.932,1,0.0544,0.0319,0,0.183,0.59,134.01,69826,M-pop
tracks,281,"Cloud 9 (feat. Juan Periquet, Kakie & Cub Fuque)",Luis Villanueva,VOL. 1 (feat. Kakie & Cub Fuque),spotify:track:388eLgpqeex2oOj9DxKEYI,0.847,0.277,0,-12.766,1,0.252,0.572,0.00409,0.0892,0.279,138.967,5559422,M-pop
tracks,282,The Little Match Girl,WENDY,The Little Match Girl - SM STATION,spotify:track:22TGH52X0gqrZJMyXVGFG0,0.566,0.439,8,-5.404,1,0.0324,0.513,0,0.116,0.249,135.854,426921,R&B/Soul
tracks,283,It's Alright 괜찮아 (feat. Jung Yu Jong),GooNight,It's Alright 괜찮아,spotify:track:6LDdUX1rUgTJZgu3SN5Csj,0.611,0.497,3,-9.376,1,0.0634,0.179,0.000015,0.388,0.362,149.629,3517980,M-pop
tracks,284,homeless door (Feat. Rad Museum),offonoff,boy.,spotify:track:2d9wb1ricMFwSjMegIxPms,0.802,0.233,3,-9.515,1,0.0958,0.762,0.000212,0.241,0.631,117.121,40201137,Pop
tracks,285,30 SEXY,Rain,Rain Effect - Special edition,spotify:track:345y6JePQqGMSO76yUkVpw,0.775,0.77,8,-2.594,1,0.0413,0.0919,0.000779,0.0624,0.914,109.522,3026302,K-Indie
tracks,286,bath,offonoff,bath,spotify:track:22tAOnXPrSFOp2En3WcyyA,0.65,0.346,7,-7.85,0,0.0402,0.721,0.000577,0.371,0.125,123.919,10685381,M-pop
tracks,287,I Didn't Change My Number,Billie Eilish,Happier Than Ever,spotify:track:7bcy34fBT2ap1L4bfPsl9q,0.849,0.48,9,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021,4450062,K-Indie
tracks,288,BLACK,G-DRAGON,COUP D'ETAT (Korean Version),spotify:track:44f1TNdoQUgf3PUYraCTsH,0.494,0.651,4,-7.971,0,0.378,0.314,0,0.249,0.471,89.587,6867697,Pop
tracks,289,Dazed,Llwyd,Forest OST Part.2,spotify:track:7fj8Q0Q19tvKmqmidgyOI3,0.735,0.405,9,-6.691,1,0.032,0.62,0,0.117,0.509,96.035,382408,M-pop
tracks,290,Cold Blooded,Jessi,Cold Blooded,spotify:track:34JfHOd0fcefm4FSPSrIhF,0.961,0.739,9,-6.665,1,0.224,0.0794,0,0.0372,0.759,119.96,14726004,M-pop
tracks,291,Growl,EXO,The 1st Album 'XOXO' (Repackage),spotify:track:4pi0Elz7B7cLfw37J3bYm9,0.681,0.814,11,-2.83,0,0.0603,0.145,0,0.556,0.876,89.993,2560695,K-Indie
tracks,292,Sleepless Night (feat. Punch),Crush,It's alright This is love (Original Television Soundtrack) Vol. 1,spotify:track:06qX0YB7c6ePHglG14TN39,0.599,0.575,10,-5.792,1,0.0315,0.449,0.000094,0.298,0.491,151.994,11493907,K-pop
tracks,293,Free Loop,Daniel Powter,Daniel Powter,spotify:track:2rtSjGAgCkHL5mKboZMVgD,0.6,0.657,0,-10.693,1,0.0336,0.503,0.00013,0.0816,0.678,75.331,9549664,Pop
tracks,294,Easy,Mac Ayres,Drive Slow,spotify:track:58dSdjfEYNSxte1aNVxuNf,0.722,0.282,5,-7.484,1,0.106,0.373,0.00557,0.147,0.217,91.367,3861054,R&B/Soul
tracks,295,Things I Do For Love,李承鉉,《半是蜜糖半是傷》電視劇原聲帶,spotify:track:56SceQVewyDwQ8seFcRn1S,0.701,0.211,10,-10.325,1,0.037,0.517,0,0.175,0.288,126.011,27083108,M-pop
tracks,296,"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,us,spotify:track:7vRriwrloYVaoAe3a9wJHe,0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,1736379,R&B/Soul
