End_Time,Artist,Track,Playlist,Miliseconds_Played,
3/31/22 3:09,蒋小呢,For Ya,#N/A,137601,
3/31/22 3:13,李承鉉,Things I Do For Love,#N/A,193073,
3/31/22 3:16,Tiësto,Secrets,mm3,230365,
3/31/22 3:20,KIM JAE HWAN,Vacance in September,mm2,207653,
3/31/22 3:22,GIRIBOY,Let's Not Love Each Other,mm2,147460,
3/31/22 3:26,余佳运,最好的都给你,mm3,203592,
3/31/22 3:28,Khalil Fong,特別的人,#N/A,146123,
3/31/22 3:31,Rezz,Hypnocurrency,#N/A,4829,
3/31/22 3:31,政学Zed-X,唯一Remix,mm2,148886,
3/31/22 3:34,Crush,Sleepless Night (feat. Punch),#N/A,325,
3/31/22 3:34,GIRIBOY,Let's Not Love Each Other,mm2,197926,
3/31/22 3:37,Lil Ghost小鬼,Good Night,#N/A,150117,
3/31/22 3:44,Khalil Fong,特別的人,#N/A,108066,
3/31/22 12:43,Estelle Fly,HEAVY,#N/A,132957,
3/31/22 12:46,Tiësto,Secrets,mm3,158127,
3/31/22 12:49,Tiësto,Secrets,mm3,200039,
3/31/22 12:50,蒋小呢,For Ya,#N/A,35294,
3/31/22 12:52,Lim sang hyun,Honey Milk Tea,#N/A,3759,
3/31/22 12:52,Estelle Fly,HEAVY,#N/A,156631,
3/31/22 12:54,BLVMENKIND,Dream with You,#N/A,75186,
3/31/22 12:55,Lady Gaga,Sexxx Dreams,#N/A,57585,
3/31/22 12:56,Crush,Sleepless Night (feat. Punch),#N/A,87864,
3/31/22 12:56,Megan Thee Stallion,Thot Shit,#N/A,3366,
3/31/22 12:56,Justice,D.A.N.C.E,#N/A,2763,
3/31/22 12:58,Morris赖仔,靠近,#N/A,84033,
3/31/22 12:58,Chancellor,Walking In The Rain (feat. Younha),#N/A,11052,
3/31/22 13:00,Albert Posis,Comeback,mm1,148282,
3/31/22 13:04,WONHO,WHITE MIRACLE,mm3,41401,
3/31/22 13:04,GIRIBOY,Let's Not Love Each Other,mm2,201131,
3/31/22 13:04,OuiOui,Thinkin' bout you,#N/A,2066,
